cluster_id,size,major_topic,major_topic_fraction,top_3_topics
2,61,comp.windows.x,0.5081967213114754,comp.windows.x(31); comp.os.ms-windows.misc(17); comp.graphics(7)
3,57,sci.electronics,0.14035087719298245,sci.electronics(8); comp.windows.x(7); comp.graphics(7)
12,57,comp.graphics,0.42105263157894735,comp.graphics(24); comp.windows.x(12); comp.os.ms-windows.misc(12)
10,56,rec.sport.baseball,0.9821428571428571,rec.sport.baseball(55); sci.space(1)
25,56,comp.graphics,0.39285714285714285,comp.graphics(22); comp.sys.mac.hardware(7); comp.os.ms-windows.misc(7)
15,55,comp.sys.ibm.pc.hardware,0.4727272727272727,comp.sys.ibm.pc.hardware(26); comp.sys.mac.hardware(9); comp.os.ms-windows.misc(9)
14,52,alt.atheism,0.23076923076923078,alt.atheism(12); talk.politics.misc(7); talk.politics.mideast(7)
27,49,comp.windows.x,0.4897959183673469,comp.windows.x(24); comp.os.ms-windows.misc(12); comp.graphics(5)
24,48,rec.sport.baseball,0.16666666666666666,rec.sport.baseball(8); talk.politics.mideast(6); sci.electronics(4)
26,48,sci.med,0.16666666666666666,sci.med(8); comp.windows.x(6); comp.os.ms-windows.misc(5)
47,48,sci.med,0.8958333333333334,sci.med(43); talk.politics.misc(2); sci.space(1)
13,47,rec.motorcycles,0.7872340425531915,rec.motorcycles(37); rec.autos(5); sci.space(2)
18,47,soc.religion.christian,0.46808510638297873,soc.religion.christian(22); alt.atheism(18); talk.religion.misc(3)
17,46,rec.autos,0.6521739130434783,rec.autos(30); rec.motorcycles(11); misc.forsale(3)
29,45,talk.politics.guns,0.3111111111111111,talk.politics.guns(14); sci.crypt(9); talk.politics.misc(7)
36,45,talk.politics.misc,0.26666666666666666,talk.politics.misc(12); talk.politics.mideast(7); soc.religion.christian(6)
45,45,sci.space,0.9555555555555556,sci.space(43); sci.med(2)
49,45,sci.electronics,0.5555555555555556,sci.electronics(25); rec.motorcycles(7); comp.sys.ibm.pc.hardware(5)
28,44,rec.sport.hockey,0.8863636363636364,rec.sport.hockey(39); rec.sport.baseball(5)
30,44,comp.os.ms-windows.misc,0.4090909090909091,comp.os.ms-windows.misc(18); comp.graphics(6); comp.windows.x(6)
16,43,comp.sys.ibm.pc.hardware,0.3488372093023256,comp.sys.ibm.pc.hardware(15); comp.sys.mac.hardware(14); comp.os.ms-windows.misc(7)
34,43,sci.crypt,0.8372093023255814,sci.crypt(36); sci.electronics(5); comp.sys.mac.hardware(1)
37,43,talk.politics.guns,0.6744186046511628,talk.politics.guns(29); talk.religion.misc(2); sci.med(2)
38,43,soc.religion.christian,0.6744186046511628,soc.religion.christian(29); talk.religion.misc(8); alt.atheism(5)
39,43,sci.electronics,0.23255813953488372,sci.electronics(10); misc.forsale(7); comp.os.ms-windows.misc(5)
44,43,misc.forsale,0.6046511627906976,misc.forsale(26); sci.electronics(9); rec.sport.baseball(2)
40,40,soc.religion.christian,0.325,soc.religion.christian(13); comp.graphics(5); alt.atheism(4)
9,39,talk.politics.misc,0.2564102564102564,talk.politics.misc(10); sci.space(5); sci.crypt(4)
21,38,rec.autos,0.18421052631578946,rec.autos(7); sci.space(5); rec.motorcycles(5)
0,37,talk.politics.mideast,0.6216216216216216,talk.politics.mideast(23); talk.politics.misc(5); talk.religion.misc(2)
5,37,comp.sys.mac.hardware,0.4594594594594595,comp.sys.mac.hardware(17); comp.sys.ibm.pc.hardware(13); comp.windows.x(3)
22,37,rec.sport.hockey,0.7837837837837838,rec.sport.hockey(29); rec.sport.baseball(8)
31,37,soc.religion.christian,0.43243243243243246,soc.religion.christian(16); alt.atheism(9); talk.religion.misc(5)
32,37,sci.space,0.4864864864864865,sci.space(18); sci.electronics(7); comp.graphics(5)
33,36,talk.politics.mideast,0.8333333333333334,talk.politics.mideast(30); talk.religion.misc(2); talk.politics.guns(2)
46,36,rec.autos,0.7222222222222222,rec.autos(26); rec.motorcycles(8); comp.sys.ibm.pc.hardware(2)
48,33,talk.politics.guns,0.24242424242424243,talk.politics.guns(8); sci.crypt(7); talk.politics.misc(5)
6,32,comp.sys.ibm.pc.hardware,0.15625,comp.sys.ibm.pc.hardware(5); rec.motorcycles(5); talk.politics.misc(4)
19,32,sci.space,0.3125,sci.space(10); rec.sport.hockey(3); rec.motorcycles(3)
20,31,sci.med,0.41935483870967744,sci.med(13); comp.sys.mac.hardware(5); sci.electronics(3)
11,30,alt.atheism,0.3,alt.atheism(9); talk.religion.misc(7); soc.religion.christian(3)
4,29,sci.crypt,0.1724137931034483,sci.crypt(5); talk.politics.misc(4); alt.atheism(4)
8,29,sci.med,0.6551724137931034,sci.med(19); talk.politics.misc(2); sci.electronics(2)
7,28,talk.politics.misc,0.32142857142857145,talk.politics.misc(9); alt.atheism(8); rec.sport.baseball(4)
23,28,talk.politics.mideast,0.6785714285714286,talk.politics.mideast(19); sci.electronics(2); sci.med(2)
1,27,comp.sys.mac.hardware,0.37037037037037035,comp.sys.mac.hardware(10); comp.os.ms-windows.misc(5); comp.graphics(4)
43,25,rec.sport.hockey,0.36,rec.sport.hockey(9); misc.forsale(4); comp.sys.ibm.pc.hardware(4)
41,21,talk.politics.misc,0.14285714285714285,talk.politics.misc(3); comp.sys.ibm.pc.hardware(3); sci.med(2)
42,19,sci.electronics,0.15789473684210525,sci.electronics(3); talk.politics.misc(2); sci.space(2)
35,9,talk.religion.misc,0.2222222222222222,talk.religion.misc(2); comp.graphics(2); misc.forsale(2)
